text,label
"Scientists confirm the new vaccine is safe and effective.",real
"Official statement: the company has launched a new sustainable product line.",real
"Report shows the local hospital successfully treated over 100 patients.",real
"Verified research proves this diet reduces heart disease risk.",real
"According to reliable sources, the election results are accurate.",real
"An official press release confirms the merger agreement.",real
"Study finds renewable energy adoption is increasing globally.",real
"Data from the government agency support the policy change.",real
"Research published in a journal confirms the medical findings.",real
"The announced project has received approval from authorities.",real
"This celebrity died in a secret hospital and the story is shocking.",fake
"The rumor says the politician was arrested in a midnight raid.",fake
"Clickbait headline: you won't believe what this actor said about aliens.",fake
"This conspiracy proves the earth is flat despite the evidence.",fake
"Unverified message warns a hidden virus is spreading through Wi-Fi.",fake
"Fake report claims soda causes instant brain damage.",fake
"The hoax video shows a miracle cure with no scientific basis.",fake
"Fabricated article says the company is closing all branches tomorrow.",fake
"This satirical news story is being shared as real without checking.",fake
"Scam alert: send money now or your account will be deleted.",fake
"Misleading claim: this plant cures cancer overnight.",fake
"The article contains multiple false statements about the new law.",fake
"A bogus notice asks people to attend a fake government meeting.",fake
"The post wrongly attributes a quote to the president.",fake
"False headlines are being spread on social media today.",fake
"New study shows coffee can prevent Alzheimer's disease.",real
"NASA confirms discovery of water on Mars.",real
"WHO reports decline in global malaria cases.",real
"University research finds benefits of meditation on mental health.",real
"Government announces new infrastructure investment.",real
"Climate scientists warn of rising sea levels.",real
"Medical trial results show promising treatment for cancer.",real
"Economists predict economic growth in the next quarter.",real
"Archaeologists uncover ancient artifacts in Egypt.",real
"SpaceX successfully launches satellite into orbit.",real
"Conspiracy theory claims vaccines contain microchips.",fake
"Rumor: the moon landing was faked.",fake
"Fake news: aliens have landed in New York.",fake
"Hoax: this diet pill makes you lose 10 pounds in a day.",fake
"Satire article mistaken for real news about politics.",fake
"Breaking news: Stock market crashes due to alien invasion.",fake
"Secret government files reveal time travel technology.",fake
"Miracle drug cures all diseases overnight.",fake
"Lost city of Atlantis found underwater.",fake
"Zombie apocalypse begins in major cities.",fake
"Time travelers from future warn of impending doom.",fake
"Ancient pyramids built by aliens.",fake
"Free energy device invented, no more electricity bills.",fake
"World leaders are actually reptilian aliens.",fake
"New COVID vaccine causes immediate death.",fake
"5G towers spread deadly viruses.",fake
"Bill Gates plans to microchip population via vaccines.",fake
"Earth is flat and NASA is lying.",fake
"Chemtrails are poisoning the air.",fake
"New research shows meditation improves brain function.",real
"Government launches new environmental protection program.",real
"Scientists discover new species in Amazon rainforest.",real
"Medical breakthrough in Alzheimer's treatment.",real
"SpaceX announces Mars colonization timeline.",real
"WHO reports progress in global health initiatives.",real
"University study finds benefits of exercise on mental health.",real
"Climate report warns of rising sea levels.",real
"New technology improves renewable energy efficiency.",real
"Archaeologists find ancient artifacts in Mediterranean.",real
"Economic data shows job growth in tech sector.",real
"NASA mission discovers evidence of ancient water on Mars.",real
"CDC updates vaccination guidelines for children.",real
"International summit agrees on climate action plan.",real
"Research shows positive effects of plant-based diets.",real
